id,title,description,availability,condition,price,sale_price,link,image_link,brand,google_product_category
karisma-swiss-cotton-olive,কারিজমা সুইস কটন — অলিভ কালেকশন,"গভীর অলিভ রঙের কারিজমা সুইস কটন থ্রি-পিস — নরম ও মসৃণ কাপড়ে তৈরি, সারাদিন পরে থাকলেও আরামদায়ক। কামিজ + সালোয়ার + দুপাট্টা।",in stock,new,1100 BDT,1050 BDT,https://aurelia-craft.vercel.app/products/karisma-swiss-cotton-olive/,https://aurelia-craft.vercel.app/images/karisma-swiss-cotton-olive.jpg,Aurelia Craft,5192
jamjam-swiss-cotton-ash-green,জমজম সুইস কটন — ছাইরঙা সবুজ কালেকশন,"ছাইরঙা ও সবুজের মিশেলে তৈরি জমজম সুইস কটন থ্রি-পিস, বোটানিক্যাল ফ্লোরাল প্রিন্টের দুপাট্টাসহ। কামিজ + সালোয়ার + দুপাট্টা।",in stock,new,1000 BDT,950 BDT,https://aurelia-craft.vercel.app/products/jamjam-swiss-cotton-ash-green/,https://aurelia-craft.vercel.app/images/jamjam-swiss-cotton-ash-green.jpg,Aurelia Craft,5192
jamjam-swiss-cotton-sky-blue,জমজম সুইস কটন — আকাশী নীল কালেকশন,"আকাশের মতো নীল রঙে মনোরম ফ্লোরাল প্রিন্টের জমজম সুইস কটন থ্রি-পিস। কামিজ + সালোয়ার + দুপাট্টা।",in stock,new,1000 BDT,950 BDT,https://aurelia-craft.vercel.app/products/jamjam-swiss-cotton-sky-blue/,https://aurelia-craft.vercel.app/images/jamjam-swiss-cotton-sky-blue.jpg,Aurelia Craft,5192
joypuri-patil-earthy,জয়পুরি প্যাটেল — মাটিরঙা কালেকশন,"মাটির মতো উষ্ণ বেইজ রঙে নেভি ফুলেল ছাপের জয়পুরি থ্রি-পিস। কামিজ + সালোয়ার + দুপাট্টা।",in stock,new,700 BDT,650 BDT,https://aurelia-craft.vercel.app/products/joypuri-patil-earthy/,https://aurelia-craft.vercel.app/images/joypuri-patil-earthy.jpg,Aurelia Craft,5192
joypuri-patil-gray-rose,জয়পুরি প্যাটেল — ধূসর গোলাপ কালেকশন,"ধূসর ও গোলাপের মিষ্টি মিলনে তৈরি জয়পুরি থ্রি-পিস। কামিজ + সালোয়ার + দুপাট্টা।",in stock,new,700 BDT,650 BDT,https://aurelia-craft.vercel.app/products/joypuri-patil-gray-rose/,https://aurelia-craft.vercel.app/images/joypuri-patil-gray-rose.jpg,Aurelia Craft,5192
joypuri-patil-brick-red,জয়পুরি প্যাটেল — ইটরাঙা কালেকশন,"ইটরাঙা গাঢ় লালে ঐতিহ্যবাহী জয়পুরি প্রিন্টের থ্রি-পিস। কামিজ + সালোয়ার + দুপাট্টা।",in stock,new,700 BDT,650 BDT,https://aurelia-craft.vercel.app/products/joypuri-patil-brick-red/,https://aurelia-craft.vercel.app/images/joypuri-patil-brick-red.jpg,Aurelia Craft,5192
joypuri-patil-black,জয়পুরি প্যাটেল — নিশিকালো কালেকশন,"গভীর কালোয় ঐতিহ্যবাহী জয়পুরি প্রিন্টের থ্রি-পিস — সরল অথচ আভিজাত্যপূর্ণ। কামিজ + সালোয়ার + দুপাট্টা।",in stock,new,700 BDT,650 BDT,https://aurelia-craft.vercel.app/products/joypuri-patil-black/,https://aurelia-craft.vercel.app/images/joypuri-patil-black.jpg,Aurelia Craft,5192
premium-coco-print-noksha,প্রিমিয়াম কোকো প্রিন্ট — দুধসাদা নক্সাদার কালেকশন,"দুধসাদায় সূক্ষ্ম নক্সার কাজ — প্রিমিয়াম কোকো প্রিন্ট থ্রি-পিস, বিশেষ অনুষ্ঠানের জন্য আদর্শ। কামিজ + সালোয়ার + দুপাট্টা।",in stock,new,1300 BDT,1180 BDT,https://aurelia-craft.vercel.app/products/premium-coco-print-noksha/,https://aurelia-craft.vercel.app/images/premium-coco-print-noksha.jpg,Aurelia Craft,5192
premium-coco-print-noksha2,প্রিমিয়াম কোকো প্রিন্ট — দুধসাদা নক্সাদার-২ কালেকশন,"দুধসাদায় ভিন্ন নকশার দ্বিতীয় নক্সাদার কোকো প্রিন্ট থ্রি-পিস। কামিজ + সালোয়ার + দুপাট্টা।",in stock,new,1300 BDT,1180 BDT,https://aurelia-craft.vercel.app/products/premium-coco-print-noksha2/,https://aurelia-craft.vercel.app/images/premium-coco-print-noksha2.jpg,Aurelia Craft,5192
premium-coco-print-offwhite,প্রিমিয়াম কোকো প্রিন্ট — দুধসাদা কালেকশন,"সরল দুধসাদায় মিনিমালিস্ট ডিজাইনের প্রিমিয়াম কোকো প্রিন্ট থ্রি-পিস। কামিজ + সালোয়ার + দুপাট্টা।",in stock,new,1300 BDT,1180 BDT,https://aurelia-craft.vercel.app/products/premium-coco-print-offwhite/,https://aurelia-craft.vercel.app/images/premium-coco-print-offwhite.jpg,Aurelia Craft,5192
premium-coco-print-aqua-maroon,প্রিমিয়াম কোকো প্রিন্ট — জলরঙা সবুজ-মেরুন কালেকশন,"জলরঙা সবুজ ও গভীর মেরুনের অপূর্ব কনট্রাস্টে কোকো প্রিন্ট থ্রি-পিস। কামিজ + সালোয়ার + দুপাট্টা।",in stock,new,1300 BDT,1180 BDT,https://aurelia-craft.vercel.app/products/premium-coco-print-aqua-maroon/,https://aurelia-craft.vercel.app/images/premium-coco-print-aqua-maroon.jpg,Aurelia Craft,5192
premium-coco-print-navy-mustard,প্রিমিয়াম কোকো প্রিন্ট — নীলকান্ত-সোনালী কালেকশন,"নীলকান্ত নীল ও সোনালী হলুদের কনট্রাস্টে কোকো প্রিন্ট থ্রি-পিস। কামিজ + সালোয়ার + দুপাট্টা।",in stock,new,1300 BDT,1180 BDT,https://aurelia-craft.vercel.app/products/premium-coco-print-navy-mustard/,https://aurelia-craft.vercel.app/images/premium-coco-print-navy-mustard.jpg,Aurelia Craft,5192
premium-jamjam-cotton-white-black,প্রিমিয়াম জমজম কটন — দুধসাদা-কালো কালেকশন,"দুধসাদা ও কালোর চিরন্তন সমন্বয়ে প্রিমিয়াম জমজম কটন থ্রি-পিস। কামিজ + সালোয়ার + দুপাট্টা।",in stock,new,1000 BDT,950 BDT,https://aurelia-craft.vercel.app/products/premium-jamjam-cotton-white-black/,https://aurelia-craft.vercel.app/images/premium-jamjam-cotton-white-black.jpg,Aurelia Craft,5192
premium-jamjam-cotton-white-maroon,প্রিমিয়াম জমজম কটন — দুধসাদা-মেরুন কালেকশন,"দুধসাদায় গভীর মেরুনের ছোঁয়ায় প্রিমিয়াম জমজম কটন থ্রি-পিস। কামিজ + সালোয়ার + দুপাট্টা।",in stock,new,1000 BDT,950 BDT,https://aurelia-craft.vercel.app/products/premium-jamjam-cotton-white-maroon/,https://aurelia-craft.vercel.app/images/premium-jamjam-cotton-white-maroon.jpg,Aurelia Craft,5192
rangeen-bahar-saree-pink,রঙিন বাহার শাড়ি — গোলাপী বহুরঙা,"গোলাপী পটভূমিতে রঙিন ফুলের ছাপে তৈরি রঙিন বাহার শাড়ি — প্রাণবন্ত ও উৎসবমুখর। ব্লাউজ পিস সহ।",in stock,new,1500 BDT,,https://aurelia-craft.vercel.app/products/rangeen-bahar-saree-pink/,https://aurelia-craft.vercel.app/images/rangeen-bahar-saree-pink.jpg,Aurelia Craft,5189
rangeen-bahar-saree-red,রঙিন বাহার শাড়ি — টকটকে লাল,"টকটকে লালে কাঁথা-ছাপার ঐতিহ্যবাহী ডিজাইনের শাড়ি। ব্লাউজ পিস সহ।",in stock,new,1500 BDT,,https://aurelia-craft.vercel.app/products/rangeen-bahar-saree-red/,https://aurelia-craft.vercel.app/images/rangeen-bahar-saree-red.jpg,Aurelia Craft,5189
tant-dora-saree-coral,তাঁত ডোরা শাড়ি — প্রবালী কালেকশন,"প্রবাল গোলাপিতে হাতে বোনা তাঁতের ডোরা ডিজাইনের শাড়ি, তাঁতের ঝালর সহ। ব্লাউজ পিস সহ।",in stock,new,1500 BDT,,https://aurelia-craft.vercel.app/products/tant-dora-saree-coral/,https://aurelia-craft.vercel.app/images/tant-dora-saree-coral.jpg,Aurelia Craft,5189
chanderi-silk-blue,চান্দেরি সিল্ক — নীলাভ কালেকশন,"নীলের গভীরতায় হালকা ও মসৃণ চান্দেরি সিল্কের শাড়ি। ব্লাউজ পিস সহ।",in stock,new,600 BDT,,https://aurelia-craft.vercel.app/products/chanderi-silk-blue/,https://aurelia-craft.vercel.app/images/chanderi-silk-blue.jpg,Aurelia Craft,5189
chanderi-silk-dual-blue,চান্দেরি সিল্ক — দ্বিনীল কালেকশন,"গাঢ় নীল ও হালকা নীলের দুই রঙের মিলনে চান্দেরি সিল্ক শাড়ি। ব্লাউজ পিস সহ।",in stock,new,600 BDT,,https://aurelia-craft.vercel.app/products/chanderi-silk-dual-blue/,https://aurelia-craft.vercel.app/images/chanderi-silk-dual-blue.jpg,Aurelia Craft,5189
chanderi-silk-white-leaf,চান্দেরি সিল্ক — শ্বেত পাতাবাহার,"সাদা পটভূমিতে বহুরঙা পাতার ছাপে চান্দেরি সিল্ক শাড়ি — হালকা ও প্রাণবন্ত। ব্লাউজ পিস সহ।",in stock,new,600 BDT,,https://aurelia-craft.vercel.app/products/chanderi-silk-white-leaf/,https://aurelia-craft.vercel.app/images/chanderi-silk-white-leaf.jpg,Aurelia Craft,5189
chumki-saree-sea-green,চুমকি শাড়ি — সমুদ্র সবুজ,"সমুদ্র সবুজে চুমকির কাজের শাড়ি — সহজ-সরল কিন্তু মনোরম। ব্লাউজ পিস সহ।",in stock,new,500 BDT,,https://aurelia-craft.vercel.app/products/chumki-saree-sea-green/,https://aurelia-craft.vercel.app/images/chumki-saree-sea-green.jpg,Aurelia Craft,5189
